LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
2016-04-30 22:20:25 +0000,LC,3704,9492,7152,-2399,-558,576,2016-04-30 22:20:25 +0000,RC,-2740,9140,10256,-2663,65,82
2016-04-30 22:20:25 +0000,LC,3560,8524,8120,-3624,-323,-152,2016-04-30 22:20:25 +0000,RC,-3628,9108,11500,-2074,1390,1228
2016-04-30 22:20:25 +0000,LC,5344,9916,9308,81,-1276,310,2016-04-30 22:20:25 +0000,RC,-4460,9956,13368,-1096,1064,1633
2016-04-30 22:20:26 +0000,LC,4092,12196,11192,1,-1116,1148,2016-04-30 22:20:26 +0000,RC,-3564,9320,11980,229,534,1966
2016-04-30 22:20:26 +0000,LC,3676,10020,10472,786,-164,-314,2016-04-30 22:20:26 +0000,RC,-3592,8992,12888,-821,2525,22
2016-04-30 22:20:26 +0000,LC,5828,11108,9676,506,1558,825,2016-04-30 22:20:26 +0000,RC,-4684,11188,12832,1330,1658,934
2016-04-30 22:20:26 +0000,LC,6068,11920,10936,-2926,-806,333,2016-04-30 22:20:26 +0000,RC,-5144,10972,13332,-285,1205,-2203
2016-04-30 22:20:26 +0000,LC,6544,11148,10352,346,-822,-531,2016-04-30 22:20:26 +0000,RC,-4528,12284,14292,-418,902,846
2016-04-30 22:20:26 +0000,LC,6568,9956,14832,-4068,1453,806,2016-04-30 22:20:26 +0000,RC,-7620,12512,16416,-4018,-638,-2317
2016-04-30 22:20:26 +0000,LC,4720,10176,14872,-2007,1235,1358,2016-04-30 22:20:26 +0000,RC,-5260,9052,14384,1024,-772,112
2016-04-30 22:20:27 +0000,LC,6340,9404,11200,2816,-2334,-795,2016-04-30 22:20:27 +0000,RC,-4580,11116,12244,4070,-1273,2394
2016-04-30 22:20:27 +0000,LC,6480,10132,11248,1116,-1988,-275,2016-04-30 22:20:27 +0000,RC,-3488,10240,12148,346,-2339,-867
2016-04-30 22:20:27 +0000,LC,6432,10644,11792,-3204,1761,300,2016-04-30 22:20:27 +0000,RC,-3912,11224,12968,-2289,-2998,-1545
2016-04-30 22:20:27 +0000,LC,7424,10664,11240,1177,-494,-915,2016-04-30 22:20:27 +0000,RC,-3344,12272,11916,2977,-938,-2052
2016-04-30 22:20:27 +0000,LC,2064,2464,3012,-213,1477,-1391,2016-04-30 22:20:27 +0000,RC,-1112,1348,792,-1201,-2801,952
2016-04-30 22:20:27 +0000,LC,4736,6180,4408,1225,4745,4384,2016-04-30 22:20:27 +0000,RC,-2860,15416,16372,-1514,405,-8050
