LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
2016-05-03 20:50:10 +0000,LC,544,13252,6208,-1901,-411,-134,2016-05-03 20:41:40 +0000,RC,13572,7044,-1188,-4743,5951,-13938
2016-05-03 20:50:10 +0000,LC,1380,13304,7664,-2862,-445,-236,2016-05-03 20:41:40 +0000,RC,15112,13604,396,-7284,1383,-14420
2016-05-03 20:50:10 +0000,LC,1648,13064,6512,537,-1890,-218,2016-05-03 20:41:40 +0000,RC,4472,11360,1840,-4203,6498,-15070
2016-05-03 20:50:10 +0000,LC,2204,9728,5372,-2391,-1741,-558,2016-05-03 20:41:40 +0000,RC,376,13160,4912,-889,6383,-7019
2016-05-03 20:50:10 +0000,LC,-1072,10496,5712,-2924,873,-1088,2016-05-03 20:41:40 +0000,RC,-4300,13156,4900,-819,-922,280
2016-05-03 20:50:10 +0000,LC,1268,12704,9212,256,-539,1557,2016-05-03 20:41:41 +0000,RC,1300,12836,5924,382,1618,1453
2016-05-03 20:50:11 +0000,LC,480,14276,6872,-857,-380,-169,2016-05-03 20:41:41 +0000,RC,2288,14328,6916,752,1763,2459
2016-05-03 20:50:11 +0000,LC,-284,13252,8572,-1549,-102,-386,2016-05-03 20:41:41 +0000,RC,4604,13720,6076,1419,3219,6023
2016-05-03 20:50:11 +0000,LC,408,14072,10960,-3232,-1281,846,2016-05-03 20:41:41 +0000,RC,6152,15708,3244,900,-2659,5437
2016-05-03 20:50:11 +0000,LC,524,14572,11612,-991,-1959,1014,2016-05-03 20:41:41 +0000,RC,11536,14260,2620,-574,-6688,8357
2016-05-03 20:50:11 +0000,LC,1864,12948,10924,822,-454,856,2016-05-03 20:41:41 +0000,RC,11164,11328,3560,-164,-2157,8479
2016-05-03 20:50:11 +0000,LC,1172,13096,11600,-2457,-895,-599,2016-05-03 20:41:42 +0000,RC,9692,9900,2188,2821,-600,7573
2016-05-03 20:50:11 +0000,LC,1976,12212,11256,2332,-3105,376,2016-05-03 20:41:42 +0000,RC,13572,11560,548,2027,-3171,8261
2016-05-03 20:50:12 +0000,LC,700,12292,10008,-1192,1743,68,2016-05-03 20:41:42 +0000,RC,17240,8884,-2032,2033,-4834,9165
2016-05-03 20:50:12 +0000,LC,728,12832,10668,96,509,564,2016-05-03 20:41:42 +0000,RC,15508,3812,-2032,2859,-1871,6505
2016-05-03 20:50:12 +0000,LC,872,12268,9348,2122,-356,862,2016-05-03 20:41:42 +0000,RC,17928,3572,-4052,1251,94,3809
2016-05-03 20:50:12 +0000,LC,1980,10624,7752,985,102,-473,2016-05-03 20:41:42 +0000,RC,16300,2108,-3312,-355,295,646
2016-05-03 20:50:12 +0000,LC,1944,6256,2896,2213,-67,-1175,2016-05-03 20:41:42 +0000,RC,18788,2964,-3600,314,-1808,-1235
2016-05-03 20:50:12 +0000,LC,604,15344,9564,-509,-374,334,2016-05-03 20:41:43 +0000,RC,18720,3732,-4196,-954,1141,-5154
2016-05-03 20:50:12 +0000,LC,1268,10684,7676,-777,-1099,66,2016-05-03 20:41:43 +0000,RC,17136,6248,-3532,-1459,5010,-9725
2016-05-03 20:50:13 +0000,LC,1592,12128,9192,1186,-1240,-1319,2016-05-03 20:41:43 +0000,RC,16780,9156,-1192,-2902,3901,-13725
2016-05-03 20:50:13 +0000,LC,1064,11644,6436,-214,-1591,-366,2016-05-03 20:41:43 +0000,RC,6472,10524,-68,-4547,10115,-17002
2016-05-03 20:50:13 +0000,LC,1216,9892,6212,-951,388,190,2016-05-03 20:41:43 +0000,RC,4576,16044,3220,-5345,6680,-16352
2016-05-03 20:50:13 +0000,LC,1832,10792,7508,-1133,1248,212,2016-05-03 20:41:43 +0000,RC,152,11692,4592,624,2618,-6663
2016-05-03 20:50:13 +0000,LC,1088,12628,8084,-437,-1390,-1610,2016-05-03 20:41:43 +0000,RC,1580,16468,4876,-2924,610,3353
2016-05-03 20:50:13 +0000,LC,-932,12872,8632,-1104,-470,-1331,2016-05-03 20:41:44 +0000,RC,4340,12256,3784,-1131,871,3569
2016-05-03 20:50:14 +0000,LC,-1844,12668,9416,1287,944,-708,2016-05-03 20:41:44 +0000,RC,4084,14048,7904,-639,-1730,3191
2016-05-03 20:50:14 +0000,LC,716,12380,10248,-687,-2132,560,2016-05-03 20:41:44 +0000,RC,4268,15580,2452,827,-2742,6556
2016-05-03 20:50:14 +0000,LC,904,13884,9600,-1601,-987,1547,2016-05-03 20:41:44 +0000,RC,3476,11492,3088,1669,-3595,10039
2016-05-03 20:50:14 +0000,LC,316,14532,11548,-804,-1711,926,2016-05-03 20:41:44 +0000,RC,6644,13608,4828,1593,-3737,7388
2016-05-03 20:50:14 +0000,LC,232,14956,11552,-1526,-1083,52,2016-05-03 20:41:44 +0000,RC,10920,12820,1216,2403,-1644,7555
2016-05-03 20:50:14 +0000,LC,140,12988,10328,-496,-1583,232,2016-05-03 20:41:45 +0000,RC,13932,6404,44,1390,-3613,8182
2016-05-03 20:50:14 +0000,LC,2456,11656,10996,649,-648,610,2016-05-03 20:41:45 +0000,RC,17488,6700,-968,1424,-4158,9038
2016-05-03 20:50:15 +0000,LC,412,13648,10140,1884,-699,1777,2016-05-03 20:41:45 +0000,RC,19352,3308,-2936,1534,-1269,9309
2016-05-03 20:50:15 +0000,LC,740,12872,8592,521,-21,509,2016-05-03 20:41:45 +0000,RC,18636,1360,-4076,2012,3290,3419
2016-05-03 20:50:15 +0000,LC,1588,8452,4840,4715,-598,376,2016-05-03 20:41:45 +0000,RC,17988,-224,-1520,-759,-4126,-1135
2016-05-03 20:50:15 +0000,LC,648,9212,4560,-5476,1237,252,2016-05-03 20:41:45 +0000,RC,18980,2576,-4888,-2783,-1078,-5023
2016-05-03 20:50:15 +0000,LC,2688,11768,8980,2916,-2029,-4453,2016-05-03 20:41:45 +0000,RC,18232,4700,-4544,-2832,5903,-12749
2016-05-03 20:50:15 +0000,LC,504,15908,7564,3215,-1357,646,2016-05-03 20:41:46 +0000,RC,14108,10608,100,-4739,7866,-16092
2016-05-03 20:51:44 +0000,LC,-1436,10420,9836,1361,-1416,703,2016-05-03 20:41:46 +0000,RC,7156,11360,-672,-6439,6831,-18088
2016-05-03 20:51:44 +0000,LC,-72,9908,8656,1941,-2631,-717,2016-05-03 20:41:46 +0000,RC,5600,13224,3980,-2730,-4716,-18287
2016-05-03 20:51:45 +0000,LC,-1280,10176,7956,1233,-1458,-129,2016-05-03 20:41:46 +0000,RC,1104,13592,7092,-1734,3154,2279
2016-05-03 20:51:45 +0000,LC,-1224,11016,9684,-2801,63,-380,2016-05-03 20:41:46 +0000,RC,0,14396,7140,-881,1479,678
2016-05-03 20:51:45 +0000,LC,196,10128,10904,-1475,181,-288,2016-05-03 20:41:46 +0000,RC,936,14160,6016,186,378,1409
2016-05-03 20:51:45 +0000,LC,-1100,9436,10728,95,-507,-225,2016-05-03 20:41:46 +0000,RC,3156,14604,5296,-300,-1538,478
2016-05-03 20:51:45 +0000,LC,-912,12684,10148,3153,-1298,-1296,2016-05-03 20:41:47 +0000,RC,2984,14964,6852,-1265,-2839,-178
2016-05-03 20:51:45 +0000,LC,-2404,12604,10776,-610,148,-1404,2016-05-03 20:41:47 +0000,RC,2232,14884,6204,-636,-358,447
2016-05-03 20:51:45 +0000,LC,-796,13204,9588,1653,-5550,-3076,2016-05-03 20:43:21 +0000,RC,9984,11504,1352,108,664,1393
2016-05-03 20:51:46 +0000,LC,-2264,14608,11024,743,-2740,889,2016-05-03 20:43:21 +0000,RC,9916,10684,220,1977,-2801,4316
2016-05-03 20:51:46 +0000,LC,-932,13164,10696,-9209,1994,-4,2016-05-03 20:43:21 +0000,RC,12916,8472,72,3344,-5040,5027
2016-05-03 20:51:46 +0000,LC,-428,11920,11852,387,-308,-214,2016-05-03 20:43:21 +0000,RC,13780,8792,-1864,4834,-8398,6688
2016-05-03 20:51:46 +0000,LC,72,11336,12104,3642,-774,-486,2016-05-03 20:43:21 +0000,RC,13384,6676,-5932,2270,143,7484
2016-05-03 20:51:46 +0000,LC,-908,11864,11316,1124,1824,1660,2016-05-03 20:43:21 +0000,RC,17220,4976,-4500,3637,-365,8950
2016-05-03 20:51:46 +0000,LC,-1812,13868,10672,3917,-230,1355,2016-05-03 20:43:22 +0000,RC,14116,1752,-5992,2643,3441,2909
2016-05-03 20:51:47 +0000,LC,144,12972,6308,2377,-1643,213,2016-05-03 20:43:22 +0000,RC,19784,2076,-6288,-1645,-337,-3860
2016-05-03 20:51:47 +0000,LC,-352,9752,4260,-3175,-927,88,2016-05-03 20:43:22 +0000,RC,18628,4152,-7768,-1593,2555,-7434
2016-05-03 20:51:47 +0000,LC,1012,8900,5320,525,-271,-49,2016-05-03 20:43:22 +0000,RC,17728,8752,-4644,-4348,5793,-11089
2016-05-03 20:51:47 +0000,LC,-2104,17212,9252,2845,-686,1450,2016-05-03 20:43:22 +0000,RC,12264,11228,-2428,-7632,6630,-18014
2016-05-03 20:51:47 +0000,LC,-952,13580,6096,-619,422,1114,2016-05-03 20:43:22 +0000,RC,5600,9584,1892,-7324,-517,-16286
2016-05-03 20:51:47 +0000,LC,1440,11184,4720,-2120,-668,-344,2016-05-03 20:43:22 +0000,RC,3180,11652,3060,-2322,4418,-4424
2016-05-03 20:51:47 +0000,LC,-760,10656,6452,-1250,-857,-3201,2016-05-03 20:43:23 +0000,RC,7316,17340,5260,-1530,-1847,1778
2016-05-03 20:51:48 +0000,LC,-1604,11472,7160,-2047,-923,519,2016-05-03 20:43:23 +0000,RC,6316,14828,2376,258,1501,802
2016-05-03 20:51:48 +0000,LC,-1132,11924,8768,-1800,2948,-194,2016-05-03 20:43:23 +0000,RC,5020,12492,4144,576,102,4296
2016-05-03 20:51:48 +0000,LC,-552,11404,9248,-1007,702,353,2016-05-03 20:43:23 +0000,RC,7616,13584,4044,1198,-1009,6595
2016-05-03 20:51:48 +0000,LC,-812,13564,9540,678,573,-465,2016-05-03 20:43:23 +0000,RC,6912,12796,2032,2029,-1971,7036
2016-05-03 20:51:48 +0000,LC,-772,13920,9964,715,-1123,1260,2016-05-03 20:43:23 +0000,RC,11960,10976,2752,2601,-5381,9771
2016-05-03 20:51:48 +0000,LC,316,14256,9460,2435,-4868,-118,2016-05-03 20:43:24 +0000,RC,14640,12224,-2012,2602,-6391,10119
2016-05-03 20:51:48 +0000,LC,620,14296,9164,-994,406,1204,2016-05-03 20:43:24 +0000,RC,14100,8204,-960,4936,-2623,11859
2016-05-03 20:51:49 +0000,LC,-768,15196,11068,-1359,162,65,2016-05-03 20:43:24 +0000,RC,17588,2104,-6056,3020,-1066,8425
2016-05-03 20:51:49 +0000,LC,336,13696,9276,1687,-1260,-803,2016-05-03 20:43:24 +0000,RC,18300,1368,-5096,4009,-860,3901
2016-05-03 20:51:49 +0000,LC,-24,13268,9008,-1343,457,229,2016-05-03 20:43:24 +0000,RC,19124,-188,-6308,-590,-1044,-323
2016-05-03 20:51:49 +0000,LC,364,12108,9092,266,865,26,2016-05-03 20:43:24 +0000,RC,19080,2864,-7416,-736,4098,-7730
2016-05-03 20:51:49 +0000,LC,-132,14016,10664,2054,-742,885,2016-05-03 20:43:24 +0000,RC,17816,6468,-4140,-2534,5087,-11670
2016-05-03 20:51:49 +0000,LC,1500,13544,8876,-2012,2207,614,2016-05-03 20:43:25 +0000,RC,13352,10168,-1368,-7356,4677,-16405
2016-05-03 20:51:50 +0000,LC,-240,9160,4972,-1568,332,-1135,2016-05-03 20:43:25 +0000,RC,7268,12864,-960,-8426,6799,-19378
2016-05-03 20:51:50 +0000,LC,-676,9236,4452,1603,-889,621,2016-05-03 20:43:25 +0000,RC,-3084,8884,1568,-3592,4723,-12281
2016-05-03 20:51:50 +0000,LC,-120,15440,7832,1718,-732,3320,2016-05-03 20:43:25 +0000,RC,2424,15576,3996,-1959,-2231,811
2016-05-03 20:51:50 +0000,LC,-76,11800,6092,-3683,-162,197,2016-05-03 20:43:25 +0000,RC,2972,15488,5504,-142,-1065,1313
2016-05-03 20:51:50 +0000,LC,104,12880,7520,371,-712,-892,2016-05-03 20:43:25 +0000,RC,3908,14196,6048,-954,-2610,1724
2016-05-03 20:51:50 +0000,LC,-448,11648,5660,-1466,980,2521,2016-05-03 20:43:25 +0000,RC,5132,13584,5692,341,-1770,3555
2016-05-03 20:51:50 +0000,LC,1996,11740,5332,-1712,-1996,843,2016-05-03 20:43:26 +0000,RC,3712,13872,4620,1959,-2019,5793
2016-05-03 20:51:51 +0000,LC,-140,13636,6456,-2092,-959,-113,2016-05-03 20:43:26 +0000,RC,5740,12688,3168,2946,-3913,8804
2016-05-03 20:51:51 +0000,LC,1448,12208,7124,1423,-3526,11,2016-05-03 20:43:26 +0000,RC,6608,8900,2484,3598,-6015,12203
2016-05-03 20:51:51 +0000,LC,-848,13156,8672,-3996,1033,-751,2016-05-03 20:43:26 +0000,RC,9176,6972,24,4176,-3759,10671
2016-05-03 20:51:51 +0000,LC,-176,13852,10336,-2084,-1518,413,2016-05-03 20:43:26 +0000,RC,11144,6852,-696,4057,-3073,8547
2016-05-03 20:51:51 +0000,LC,-572,14720,9868,-676,229,-1228,2016-05-03 20:43:26 +0000,RC,14904,6252,-5284,943,-3833,6986
